id,long,lat
FB_293_Chi_par_LGEMA_10193,-48.78333333,-2.6
FB_298_Chi_par_T12920,-45.14216667,-5.008222222
FB_299_Chi_par_T19042,-48.2437,-6.645
FB_300_Chi_par_T19073,-48.2437,-6.645
FB_301_Chi_par_T19082,-48.2437,-6.645
FB_302_Chi_par_T21177,-49.381325,-7.624380556
FB_303_Chi_par_T21442,-49.381325,-7.624380556
FB_304_Chi_par_T21463,-49.381325,-7.624380556
FB_306_Chi_par_T9848,-42.60788,-4.79081
FB_307_Chi_par_T21660,-48.41569,-8.7566
FB_308_Chi_par_T21693,-48.41569,-8.7566
FB_309_Chi_par_T21707,-48.41569,-8.7566
FB_O15_Chi_par_TCAHZ_01201,-34.954046,-7.468554
FB_O17_Chi_par_MZUSP_98488,-35.5,-9.21667
FB_O19_Chi_par_MZUSP_93348,-52.18333,-2.36667
FB_O21_Chi_par_MZUSP_97112,-50.36667,-9.83333
FB_O22_Chi_par_MZUSP_CE_33,-40.84666667,-4.065
FB_O23_Chi_par_MZUSP_81311,-47.58667,-5.075
FB_O24_Chi_par_MZUSP_98316,-35.83333,-9
FB_O25_Chi_par_MZUSP_98317,-35.83333,-9
FB_O26_Chi_par_MZUSP_98443,-36.1,-8.96667
FB_O27_Chi_par_MZUSP_98444,-36.1,-8.96667
FB_O28_Chi_par_MZUSP_98446,-36.23333,-9.75
FB_O29_Chi_par_MZUSP_98447,-36.23333,-9.75
FB_O2O_Chi_par_MZUSP_93350,-52.26667,-2.16667
FB_O31_Chi_par_TCAHZ_01260,-35.154,-7.041
FB_O32_Chi_par_TCAHZ_01298,-40.89817,-3.83945
