Model,Log_likelihood,n_parameters,AICs,Delta_AIC,weight_AICs
model3a,-1582.67851788506,2,3169.35703577011,0,1
model1a,-1581.55701761072,4,3171.11403522143,1.75699945132146,0.415405666875354
model2b,-1582.75922080122,3,3171.51844160244,2.16140583232254,0.339356902337582
model1d,-1581.58989071651,5,3173.17978143301,3.82274566289743,0.147877236661021
model1b,-1582.75922080924,4,3173.51844161848,4.16140584836376,0.12484242658831
model1c,-1582.29019210829,5,3174.58038421659,5.22334844647594,0.07341153352313
model2e,-1582.32350532232,8,3180.64701064464,11.2899748745253,0.003535192812539
model1h,-1581.88915030011,9,3181.77830060022,12.4212648301109,0.002007967193759
model1e,-1582.90932322384,8,3181.81864644768,12.461610677562,0.001967866459143
model2d,-1585.7667999605,7,3185.533599921,16.1765641508823,0.000307116907879
model1f,-1586.97411129404,8,3189.94822258808,20.5911868179674,3.38E-05
model1g,-1594.29386226433,9,3206.58772452867,37.230688758556,8.23E-09
model2c,-1659.62732019719,7,3333.25464039437,163.897604624261,2.57E-36
model3b,-1661.12063316772,6,3334.24126633544,164.884230565331,1.57E-36
model2a,-1955.77377805443,3,3917.54755610886,748.190520338746,3.41E-163
